Timestamps, W/m2 Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance, degrees Wind Direction, m/s Wind Speed, m/s Gust Speed, degree_C Air Temperature, kPa Vapor Pressure, kPa Atmospheric Pressure, degrees X-axis Level, degrees Y-axis Level, mm/h Max Precip Rate, degree_C RH Sensor Temp, kPa VPD, m3/m3 Water Content, degree_C Soil Temperature, mS/cm Saturation Extract EC, m3/m3 Water Content, degree_C Soil Temperature, mS/cm Saturation Extract EC, kPa Matric Potential, degree_C Soil Temperature, degree_C 5 cm Soil Temperature 1, degree_C 10 cm Soil Temperature 2, degree_C 20 cm Soil Temperature 3, degree_C 30 cm Soil Temperature 4, degree_C 50 cm Soil Temperature 5, degree_C 100 cm Soil Temperature 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
04/26/2025 12:05:00 PM,171.4,0,0,0,45,2.85,4.79,7.8,0.488,93.56,-0.8,1,0,12.7,0.57,0.298,12.9,0.831,0.358,9.1,1.061,-36542.3,15.4,24.92,21.16,18.51,20.65,19.69,7.72,100,8080,93.52,15
04/26/2025 12:10:00 PM,734.6,0,0,0,44,3.15,5.38,8.4,0.464,93.54,-1.4,0.8,0,12.2,0.64,0.298,12.2,0.848,0.358,9,1.066,-34111.1,14,23.56,19.72,17.75,16.48,13.27,5.2,100,8796,93.5,14.6
04/26/2025 12:15:00 PM,851.6,0,0,0,35,2.87,3.77,8.6,0.46,93.53,-1.8,1.2,0,12.5,0.66,0.298,12.1,0.852,0.358,9,1.07,-32292,15.1,20.47,17.97,18.88,14.56,9.83,4.41,100,8241,93.49,16.9
04/26/2025 12:20:00 PM,906.6,0,0,0,357,2.88,5.1,8.8,0.462,93.53,-1.2,1.4,0,12.9,0.67,0.299,12.3,0.847,0.359,9,1.073,-29167.3,16.5,19.9,19.16,21.95,14.47,8.86,4.28,100,8254,93.52,17.4
04/26/2025 12:25:00 PM,906.6,0,0,0,56,2.82,5.96,8.9,0.468,93.53,-0.6,1.6,0,13.4,0.67,0.298,12.7,0.84,0.359,9,1.076,-24232.3,17.9,21.79,19.8,22.81,15,8.42,4.21,100,8248,93.53,18
04/26/2025 12:30:00 PM,305.8,0,0,0,49,2.54,5.62,8.3,0.454,93.55,-1.2,1.5,0,13,0.64,0.298,12.7,0.838,0.359,9,1.081,-21781.9,18.2,19.44,17.74,20.09,15.48,8.18,4.17,100,8170,93.53,17.5
04/26/2025 12:35:00 PM,770.8,0,0,0,23,2.6,5.48,8.9,0.456,93.54,-1,1.5,0,12.7,0.69,0.298,12.5,0.847,0.359,9,1.088,-22029,16.6,18.56,17.51,20.24,15.26,8.06,4.16,100,8282,93.54,16.8
04/26/2025 12:40:00 PM,723.8,0,0,0,26,2.45,3.93,9.2,0.45,93.54,-0.8,1.4,0,12.9,0.71,0.298,12.6,0.846,0.359,9,1.088,-21776.9,16.4,19.85,18.47,21.91,15.37,7.96,4.16,100,8285,93.54,16.8
04/26/2025 12:45:00 PM,583.2,0,0,0,16,2.26,3.68,9.2,0.44,93.55,-1,1.3,0,13.1,0.73,0.298,12.7,0.846,0.359,9,1.09,-19746.7,16.5,19.89,18.68,22.05,15.69,7.89,4.14,100,8186,93.54,16.8
04/26/2025 12:50:00 PM,885.6,0,0,0,26,2.79,5.16,9.4,0.452,93.54,-0.8,1.9,0,13.5,0.73,0.298,12.7,0.846,0.359,9.1,1.087,-20026.1,16.6,20.68,19.07,22.62,15.88,7.85,4.15,100,8356,93.53,16.6
